,solution_dataframes,total_weariness,plots,Ts,alphas,Iterations
0,../data/1_100_0.99.csv,7389420358.983843,../data/1_100_0.99.png,100,0.99,1
1,../data/2_100_0.99.csv,7389419741.295797,../data/2_100_0.99.png,100,0.99,2
